A5A616	mgtS	b4599	Small protein MgtS
P0AG48	rplU	b3186	Large ribosomal subunit protein bL21 (50S ribosomal protein L21)
P0AG51	rpmD	b3302	Large ribosomal subunit protein uL30 (50S ribosomal protein L30)
P0AG76	sbcD	b0398	Nuclease SbcCD subunit D
P0AG78	sbp	b3917	Sulfate-binding protein (Sulfate starvation-induced protein 2) (SSI2)
P0AG82	pstS	b3728	Phosphate-binding protein PstS (PBP)
P0AGA6	uhpA	b3669	Transcriptional regulatory protein UhpA
P0AGC5	mltF	b2558	Membrane-bound lytic murein transglycosylase F (EC 4.2.2.n1) (Murein lyase F)
P0AGG4	trxC	b2582	Thioredoxin 2 (Trx-2) (EC 1.8.1.8) (Protein-disulfide reductase)
P0AGH3	sapB	b1293	Putrescine export system permease protein SapB
P0AGH5	sapC	b1292	Putrescine export system permease protein SapC
P0AGK8	iscR	b2531	HTH-type transcriptional regulator IscR
P0AGL2	tdcF	b3113	Putative reactive intermediate deaminase TdcF (EC 3.5.4.-)
P0AGL5	ratA	b2619	Ribosome association toxin RatA (Toxin RatA)
P0AGL7	rsmE	b2946	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193) (16S rRNA m3U1498 methyltransferase)
P0AGM9	xanP	b3654	Xanthine permease XanP
P0C066	mltC	b2963	Membrane-bound lytic murein transglycosylase C (EC 4.2.2.n1) (Murein lyase C)
P0C0L9	iscX	b2524	Protein IscX
P0C0U4	rimK	b0852	Ribosomal protein bS6--L-glutamate ligase (EC 6.3.2.-) (Polyglutamate synthase) (Ribosomal protein bS6 modification protein)
P0C8J6	gatY	b2096	D-tagatose-1,6-bisphosphate aldolase subunit GatY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)
P0C960	emtA	b1193	Endo-type membrane-bound lytic murein transglycosylase A (EC 4.2.2.n2) (Peptidoglycan lytic endotransglycosylase)
P0CI31	hcaB	b2541	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)
P0DMC9	rcsA	b1951	Transcriptional regulatory protein RcsA (Colanic acid capsular biosynthesis activation protein A)
P0DW56	spfP	b4837	Small protein SpfP
P10100	rlpA	b0633	Endolytic peptidoglycan transglycosylase RlpA (EC 4.2.2.-) (Rare lipoprotein A)
P10151	leuO	b0076	HTH-type transcriptional regulator LeuO
P10346	glnQ	b0809	Glutamine transport ATP-binding protein GlnQ
P10371	hisA	b2024	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)
P10384	fadL	b2344	Long-chain fatty acid transport protein (Outer membrane FadL protein) (Outer membrane flp protein)
P10441	lpxB	b0182	Lipid-A-disaccharide synthase (EC 2.4.1.182)
P10442	rnhB	b0183	Ribonuclease HII (RNase HII) (EC 3.1.26.4)
P11553	fucK	b2803	L-fuculokinase (EC 2.7.1.51) (L-fuculose kinase)
P13016	ampD	b0110	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD (EC 3.5.1.28) (N-acetylmuramoyl-L-alanine amidase)
P13033	glpB	b2242	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (Anaerobic G-3-P dehydrogenase subunit B) (Anaerobic G3Pdhase B) (EC 1.1.5.3)
P13669	mngR	b0730	Mannosyl-D-glycerate transport/metabolism system repressor MngR (Fatty acyl-responsive regulator) (Protein P30)
P13857	rimL	b1427	Ribosomal-protein-serine acetyltransferase (EC 2.3.1.-) (Acetylating enzyme for N-terminus of ribosomal protein L7/L12)
P15031	fecE	b4287	Fe(3+) dicitrate transport ATP-binding protein FecE (EC 7.2.2.18) (Iron(III) dicitrate transport ATP-binding protein FecE)
P15032	recE	b1350	Exodeoxyribonuclease 8 (EC 3.1.11.-) (Exodeoxyribonuclease VIII) (EXO VIII)
P15038	helD	b0962	DNA helicase IV (EC 5.6.2.4) (75 kDa helicase) (DNA 3'-5' helicase IV)
P15078	cstA	b0598	Peptide transporter CstA (Carbon starvation protein A)
P16095	sdaA	b1814	L-serine dehydratase 1 (SDH 1) (EC 4.3.1.17) (L-serine deaminase 1) (L-SD1)
P16256	panF	b3258	Sodium/pantothenate symporter (Pantothenate permease)
P16429	hycC	b2723	Formate hydrogenlyase subunit 3 (FHL subunit 3) (Hydrogenase-3 component C)
P16430	hycD	b2722	Formate hydrogenlyase subunit 4 (FHL subunit 4) (Hydrogenase 3 component D)
P16431	hycE	b2721	Formate hydrogenlyase subunit 5 (FHL subunit 5) (Hydrogenase-3 component E)
P16432	hycF	b2720	Formate hydrogenlyase subunit 6 (FHL subunit 6) (Hydrogenase-3 component F)
P16433	hycG	b2719	Formate hydrogenlyase subunit 7 (FHL subunit 7) (Hydrogenase-3 component G)
P16676	cysA	b2422	Sulfate/thiosulfate import ATP-binding protein CysA (EC 7.3.2.3) (Sulfate-transporting ATPase)
P16678	phnK	b4097	Putative phosphonates utilization ATP-binding protein PhnK
P16679	phnL	b4096	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL (RPnTP synthase subunit PhnL) (EC 2.7.8.37)
P16685	phnG	b4101	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG (RPnTP synthase subunit PhnG) (EC 2.7.8.37)
P16691	phnO	b4093	Aminoalkylphosphonate N-acetyltransferase (EC 2.3.1.280) (KAT) (Peptidyl-lysine N-acetyltransferase) (EC 2.3.1.-)
P16700	cysP	b2425	Thiosulfate-binding protein
P17315	cirA	b2155	Colicin I receptor
P17334	chbC	b1737	PTS system N,N'-diacetylchitobiose-specific EIIC component (EIIC-Chb) (IIcel) (N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIC component)
P17446	betI	b0313	HTH-type transcriptional regulator BetI
P17802	mutY	b2961	Adenine DNA glycosylase (EC 3.2.2.31) (A/G-specific adenine glycosylase)
P18133	pncB	b0931	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)
P18392	rstB	b1609	Sensor protein RstB (EC 2.7.13.3)
P18777	dmsC	b0896	Anaerobic dimethyl sulfoxide reductase chain C (DMSO reductase anchor subunit)
P19323	fhlA	b2731	Formate hydrogenlyase transcriptional activator FhlA
P19642	malX	b1621	PTS system maltose-specific EIICB component [Includes: Maltose permease IIC component (PTS system maltose-specific EIIC component); Maltose-specific phosphotransferase enzyme IIB component (EC 2.7.1.208) (PTS system maltose-specific EIIB component)]
P20099	bisC	b3551	Biotin sulfoxide reductase (BDS reductase) (BSO reductase) (EC 1.-.-.-) (L-methionine-(S)-sulfoxide reductase) (Met-S-SO reductase) (EC 1.8.4.13)
P21189	polB	b0060	DNA polymerase II (Pol II) (EC 2.7.7.7)
P21345	gltP	b4077	Proton/glutamate-aspartate symporter (Glutamate-aspartate carrier protein) (Proton-glutamate-aspartate transport protein)
P21517	malZ	b0403	Maltodextrin glucosidase (EC 3.2.1.20) (Alpha-glucosidase)
P21866	kdpE	b0694	KDP operon transcriptional regulatory protein KdpE
P21889	aspS	b1866	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)
P22186	mraZ	b0081	Transcriptional regulator MraZ
P22524	mukE	b0923	Chromosome partition protein MukE (Protein KicA)
P22939	ispA	b0421	Farnesyl diphosphate synthase (FPP synthase) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Geranyltranstransferase)
P23173	tnaB	b3709	Low affinity tryptophan permease
P23200	mglC	b2148	Galactose/methyl galactoside import permease protein MglC
P23331	tdk	b1238	Thymidine kinase (EC 2.7.1.21)
P23482	hyfB	b2482	Hydrogenase-4 component B (EC 1.-.-.-)
P23524	garK	b3124	Glycerate 2-kinase (EC 2.7.1.165) (Glycerate kinase 1) (GK1)
P23830	pssA	b2585	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)
P23849	trkG	b1363	Trk system potassium uptake protein TrkG
P23862	priC	b0467	Primosomal replication protein N''
P23869	ppiB	b0525	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Rotamase B)
P23871	hemH	b0475	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)
P23876	fepD	b0590	Ferric enterobactin transport system permease protein FepD
P23877	fepG	b0589	Ferric enterobactin transport system permease protein FepG
P23878	fepC	b0588	Ferric enterobactin transport ATP-binding protein FepC (EC 7.2.2.17)
P23917	mak	b0394	Fructokinase (EC 2.7.1.4) (D-fructose kinase) (Manno(fructo)kinase)
P24077	entS	b0591	Enterobactin exporter EntS (Protein p43)
P24169	speF	b0693	Inducible ornithine decarboxylase (EC 4.1.1.17)
P24197	ygiD	b3039	4,5-DOPA dioxygenase extradiol (EC 1.13.11.29)
P24205	lpxM	b1855	Lipid A biosynthesis myristoyltransferase (EC 2.3.1.243) (Kdo(2)-lauroyl-lipid IV(A) myristoyltransferase)
P24216	fliD	b1924	Flagellar hook-associated protein 2 (HAP2) (Filament cap protein) (Flagellar cap protein)
P24251	crl	b0240	Sigma factor-binding protein Crl (Curlin genes transcriptional activatory protein)
P24255	rpoN	b3202	RNA polymerase sigma-54 factor
P24555	ptrB	b1845	Protease 2 (EC 3.4.21.83) (Oligopeptidase B) (Protease II)
P25396	tehA	b1429	Tellurite resistance protein TehA
P25736	endA	b2945	Endonuclease-1 (EC 3.1.21.1) (Endonuclease I) (Endo I)
P25742	waaQ	b3632	Lipopolysaccharide heptosyltransferase 3 (EC 2.4.99.25) (ADP-heptose:lipopolysaccharide heptosyltransferase III) (ADP-heptose:LPS heptosyltransferase III) (Heptosyltransferase III)
P25746	hflD	b1132	High frequency lysogenization protein HflD
P25772	ligB	b3647	DNA ligase B (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)] B)
P25798	fliF	b1938	Flagellar M-ring protein
P25906	pdxI	b1406	Pyridoxine 4-dehydrogenase (EC 1.1.1.65)
P26218	bglH	b3720	Cryptic outer membrane porin BglH
P26281	folK	b0142	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)
P26646	acuI	b3253	Probable acrylyl-CoA reductase AcuI (EC 1.3.1.84) (Acryloyl-coenzyme A reductase AcuI)
P26647	plsC	b3018	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-AGP acyltransferase) (1-AGPAT) (EC 2.3.1.51) (EC 2.3.1.n4) (Lysophosphatidic acid acyltransferase) (LPAAT) (Phosphatidic acid synthase) (PA synthase)
P27129	waaJ	b3626	Lipopolysaccharide 1,2-glucosyltransferase (EC 2.4.1.58) (UDP-glucose:(glucosyl) LPS alpha 1,2-glucosyltransferase)
P27241	waaZ	b3624	Probable 3-deoxy-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.15) (Lipopolysaccharide core biosynthesis protein WaaZ)
P27242	waaU	b3623	Putative lipopolysaccharide heptosyltransferase 4 (EC 2.4.1.-) (ADP-heptose:LPS heptosyltransferase 4) (HepIV transferase)
P27245	marR	b1530	Multiple antibiotic resistance protein MarR
P27247	plsX	b1090	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)
P27248	gcvT	b2905	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)
P27253	scpA	b2917	Methylmalonyl-CoA mutase (MCM) (EC 5.4.99.2)
P27254	argK	b2918	GTPase ArgK (EC 3.6.5.-) (G-protein chaperone)
P27298	prlC	b3498	Oligopeptidase A (EC 3.4.24.70)
P27300	lpxK	b0915	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)
P27305	gluQ	b0144	Glutamyl-Q tRNA(Asp) synthetase (Glu-Q-RSs) (EC 6.1.1.-)
P27896	narQ	b2469	Nitrate/nitrite sensor protein NarQ (EC 2.7.13.3)
P28224	mliC	b1639	Membrane-bound lysozyme inhibitor of C-type lysozyme
P28304	qorA	b4051	Quinone oxidoreductase 1 (EC 1.6.5.5) (NADPH:quinone reductase 1) (Zeta-crystallin homolog protein)
P28307	csgA	b1042	Major curlin subunit
P28634	trmO	b0195	tRNA (adenine(37)-N6)-methyltransferase (EC 2.1.1.-) (tRNA (m6t6A37) methyltransferase) (tRNA methyltransferase O)
P28635	metQ	b0197	D-methionine-binding lipoprotein MetQ
P28904	treC	b4239	Trehalose-6-phosphate hydrolase (EC 3.2.1.93) (Alpha,alpha-phosphotrehalase)
P29012	dadX	b1190	Alanine racemase, catabolic (EC 5.1.1.1)
P29208	menC	b2261	o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)
P29680	hemE	b3997	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)
P30126	leuD	b0071	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
P30137	thiE	b3993	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)
P30744	sdaB	b2797	L-serine dehydratase 2 (SDH 2) (EC 4.3.1.17) (L-serine deaminase 2) (L-SD2)
P30843	basR	b4113	Transcriptional regulatory protein BasR
P30845	eptA	b4114	Phosphoethanolamine transferase EptA (EC 2.7.-.-) (Polymyxin resistance protein PmrC)
P30860	artJ	b0860	ABC transporter arginine-binding protein 1
P30863	dkgB	b0207	2,5-diketo-D-gluconic acid reductase B (2,5-DKG reductase B) (2,5-DKGR B) (25DKGR-B) (EC 1.1.1.346) (AKR5D)
P30871	ygiF	b3054	Inorganic triphosphatase (PPPase) (EC 3.6.1.25) (ORFXE)
P31058	yadC	b0135	Uncharacterized fimbrial-like protein YadC
P31135	potH	b0856	Putrescine transport system permease protein PotH
P31434	yicI	b3656	Alpha-xylosidase (EC 3.2.1.177)
P31441	ade	b3665	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)
P31467	yieH	b3715	6-phosphogluconate phosphatase (EC 3.1.3.-)
P31675	setA	b0070	Sugar efflux transporter A
P31680	djlA	b0055	Co-chaperone protein DjlA (DnaJ-like protein DjlA)
P31697	fimC	b4316	Chaperone protein FimC
P31801	chaA	b1216	Sodium-potassium/proton antiporter ChaA (Na(+)/H(+) exchanger)
P32053	intA	b2622	Prophage integrase IntA (Prophage CP4-57 integrase SlpA)
P32125	mobB	b3856	Molybdopterin-guanine dinucleotide biosynthesis adapter protein (MGD biosynthesis adapter protein) (Molybdenum cofactor biosynthesis adapter protein) (Moco biosynthesis adapter protein) (Molybdopterin-guanine dinucleotide biosynthesis protein B)
P32141	yihT	b3881	Sulfofructosephosphate aldolase (SFP aldolase) (EC 4.1.2.57)
P32144	csqR	b3884	HTH-type transcriptional repressor CsqR (Regulator of sulfoquinovose catabolism)
P32669	fsaB	b3946	Fructose-6-phosphate aldolase 2 (EC 4.1.2.-) (Fructose-6-phosphate aldolase B) (FSAB)
P32670	ptsA	b3947	Multiphosphoryl transfer protein 2 (MTP 2) (Triphosphoryl transfer protein 2) (TTP 2) [Includes: Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Enzyme I-Ani) (Phosphotransferase system enzyme I); Phosphocarrier protein HPr (Protein H); PTS system fructose-like EIIA component (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIA component)]
P32715	mdtO	b4081	Multidrug resistance protein MdtO
P32716	mdtN	b4082	Multidrug resistance protein MdtN
P32718	alsK	b4084	D-allose kinase (Allokinase) (EC 2.7.1.55)
P32721	alsA	b4087	D-allose import ATP-binding protein AlsA (EC 7.5.2.8)
P33012	sbmC	b2009	DNA gyrase inhibitor
P33026	setB	b2170	Sugar efflux transporter B
P33030	yeiR	b2173	Zinc chaperone YeiR (EC 3.6.5.-)
P33129	htrE	b0139	Outer membrane usher protein HtrE (Heat shock protein E)
P33229	ralR	b1348	Endodeoxyribonuclease toxin RalR (DNase RalR) (EC 3.1.-.-) (Restriction alleviation and modification enhancement protein) (Toxin RalR)
P33358	mlrA	b2127	HTH-type transcriptional regulator MlrA (MerR-like regulator A)
P33359	yehW	b2128	Glycine betaine uptake system permease protein YehW
P33360	yehX	b2129	Glycine betaine uptake system ATP-binding protein YehX (EC 7.4.2.-)
P33361	yehY	b2130	Glycine betaine uptake system permease protein YehY
P33363	bglX	b2132	Periplasmic beta-glucosidase (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)
P33570	tktB	b2465	Transketolase 2 (TK 2) (EC 2.2.1.1)
P33590	nikA	b3476	Nickel-binding periplasmic protein
P33591	nikB	b3477	Nickel transport system permease protein NikB
P33931	ccmA	b2201	Cytochrome c biogenesis ATP-binding export protein CcmA (EC 7.6.2.5) (Heme exporter protein A)
P33934	napH	b2204	Ferredoxin-type protein NapH (Ubiquinol--[NapC cytochrome c] reductase NapH subunit)
P33940	mqo	b2210	Malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])
P33941	yojI	b2211	ABC transporter ATP-binding/permease protein YojI
P36560	asr	b1597	Acid shock protein
P36659	cbpA	b1000	Curved DNA-binding protein
P36662	torD	b0998	Chaperone protein TorD
P36673	treR	b4241	HTH-type transcriptional regulator TreR (Trehalose operon repressor)
P36938	pgm	b0688	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Glucose phosphomutase)
P36999	rlmA	b1822	23S rRNA (guanine(745)-N(1))-methyltransferase (EC 2.1.1.187) (23S rRNA m1G745 methyltransferase) (Ribosomal RNA large subunit methyltransferase A)
P37146	nrdF	b2676	Ribonucleoside-diphosphate reductase 2 subunit beta (EC 1.17.4.1) (R2F protein) (Ribonucleotide reductase 2)
P37194	slp	b3506	Outer membrane protein Slp
P37326	intS	b2349	Prophage integrase IntS (Putative prophage CPS-53 integrase)
P37338	glaR	b2664	HTH-type transcriptional repressor GlaR (Carbon starvation induced regulator) (GlaH operon repressor)
P37353	menE	b2260	2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase)
P37355	menH	b2263	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) (EC 4.2.99.20)
P37387	xylF	b3566	D-xylose-binding periplasmic protein
P37388	xylG	b3567	Xylose import ATP-binding protein XylG (EC 7.5.2.10)
P37596	norW	b2711	Nitric oxide reductase FlRd-NAD(+) reductase (EC 1.18.1.-) (Flavorubredoxin reductase) (FlRd-reductase) (FlavoRb reductase)
P37619	yhhQ	b3471	Queuosine precursor transporter (Q precursor transporter)
P37621	yhhS	b3473	Uncharacterized MFS-type transporter YhhS
P37636	mdtE	b3513	Multidrug resistance protein MdtE
P37639	gadX	b3516	HTH-type transcriptional regulator GadX
P37646	pdeH	b3525	Cyclic di-GMP phosphodiesterase PdeH (EC 3.1.4.52)
P37651	bcsZ	b3531	Endoglucanase (EC 3.2.1.4) (Carboxymethylcellulase) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)
P37657	bcsE	b3536	Cyclic di-GMP binding protein BcsE (Cellulose biosynthesis protein BcsE)
P37661	eptB	b3546	Kdo(2)-lipid A phosphoethanolamine 7''-transferase (EC 2.7.8.42) (Phosphoethanolamine transferase EptB)
P37665	yiaD	b3552	Probable lipoprotein YiaD
P37669	wecH	b3561	O-acetyltransferase WecH (EC 2.3.1.-)
P37674	yiaM	b3577	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
P37675	yiaN	b3578	2,3-diketo-L-gulonate TRAP transporter large permease protein YiaN
P37676	yiaO	b3579	2,3-diketo-L-gulonate-binding periplasmic protein YiaO (2,3-DKG-binding protein) (Extracytoplasmic solute receptor protein YiaO)
P37678	sgbH	b3581	3-keto-L-gulonate-6-phosphate decarboxylase SgbH (KGPDC) (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase)
P37680	sgbE	b3583	L-ribulose-5-phosphate 4-epimerase SgbE (EC 5.1.3.4) (Phosphoribulose isomerase)
P37692	waaF	b3620	Lipopolysaccharide heptosyltransferase 2 (EC 2.4.99.24) (ADP-heptose:lipopolysaccharide heptosyltransferase II) (ADP-heptose:LPS heptosyltransferase II) (Heptosyltransferase II)
P37759	rfbB	b2041	dTDP-glucose 4,6-dehydratase 1 (EC 4.2.1.46)
P37760	rfbD	b2040	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)
P37765	rluB	b1269	Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B)
P37902	gltI	b0655	Glutamate/aspartate import solute-binding protein
P38097	dgcE	b2067	Probable diguanylate cyclase DgcE (DGC) (EC 2.7.7.65)
P38101	eamB	b2578	Cysteine/O-acetylserine efflux protein
P38134	etk	b0981	Tyrosine-protein kinase etk (EC 2.7.10.-)
P38684	torR	b0995	TorCAD operon transcriptional regulatory protein TorR
P39199	prmB	b2330	Ribosomal protein uL3 glutamine methyltransferase (L3 MTase) (uL3 MTase) (EC 2.1.1.298) (N5-glutamine methyltransferase PrmB)
P39280	epmB	b4146	L-lysine 2,3-aminomutase (LAM) (EC 5.4.3.-) (EF-P post-translational modification enzyme B)
P39288	queG	b4166	Epoxyqueuosine reductase (EC 1.17.99.6) (Queuosine biosynthesis protein QueG)
P39300	ulaG	b4192	Probable L-ascorbate-6-phosphate lactonase UlaG (EC 3.1.1.-) (L-ascorbate utilization protein G)
P39306	ulaF	b4198	L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F) (Phosphoribulose isomerase)
P39310	ytfB	b4206	Cell division protein YtfB
P39325	ytfQ	b4227	Galactofuranose-binding protein YtfQ
P39333	bdcA	b4249	Cyclic-di-GMP-binding biofilm dispersal mediator protein
P39346	idnD	b4267	L-idonate 5-dehydrogenase (NAD(P)(+)) (EC 1.1.1.264)
P39358	yjhG	b4297	D-xylonate dehydratase YjhG (EC 4.2.1.82)
P39370	nanS	b4309	Probable 9-O-acetyl-N-acetylneuraminic acid deacetylase (Neu5,9Ac2 deacetylase) (EC 3.1.1.-) (Probable 9-O-acetyl-N-acetylneuraminate esterase) (Probable sialyl esterase NanS)
P39375	iraD	b4326	Anti-adapter protein IraD
P39376	yjiE	b4327	HTH-type transcriptional regulator YjiE (Hypochlorite-response regulator protein YjiE) (Quorum-sensing regulator protein D)
P39398	lgoT	b4356	Probable L-galactonate transporter (Galactonate:H(+) symporter)
P39400	lgoD	b4358	L-galactonate-5-dehydrogenase (EC 1.1.1.414)
